Algorithm,Items,Alpha,CoolingMode,BinaryArray,Iterations,Time,Value,Weight
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.03099966049194336,181,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",1000,0.042000532150268555,194,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1000,0.04099917411804199,186,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",1000,0.04200005531311035,185,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",1000,0.047000885009765625,169,131
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",1000,0.04900050163269043,183,131
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.039998531341552734,204,129
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",1000,0.03999948501586914,164,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1000,0.03400087356567383,181,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",1000,0.036000967025756836,175,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1000,0.04000139236450195,185,134
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]",1000,0.03799843788146973,183,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.02699732780456543,180,128
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",1000,0.040001869201660156,175,132
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",1000,0.04000234603881836,174,135
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1000,0.035001516342163086,177,137
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1000,0.035996198654174805,185,133
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1000,0.023998498916625977,175,134
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",1000,0.01999950408935547,175,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1000,0.01899862289428711,175,135
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",1000,0.01900315284729004,193,140
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.02000260353088379,175,132
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.017994165420532227,209,137
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",1000,0.0200042724609375,195,137
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1000,0.037999868392944336,188,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]",1000,0.038999080657958984,181,133
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.03800177574157715,176,122
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1000,0.03899836540222168,187,128
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1000,0.0330042839050293,155,121
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.03899502754211426,199,141
